,date_time,action,signal,buy_price,sell_price,pnl,balance
170,2020-01-28 16:00:00,1,Buy,9037.15,,,688.7814964789908
171,2020-01-28 20:00:00,-1,Sell,9037.15,9042.44,-0.01,689.1839826733524
172,2020-01-28 20:00:00,-1,Sell,9042.44,,,689.1839826733524
173,2020-01-28 23:35:00,-1,SL Hit,9042.44,9285.0,-2.75,670.6961855140405
174,2020-01-29 04:00:00,-1,Sell,9343.75,,,670.6961855140405
175,2020-01-29 12:00:00,1,Buy,9343.75,9303.16,0.36,673.6090435790588
176,2020-01-29 12:00:00,1,Buy,9303.16,,,673.6090435790588
177,2020-01-29 16:00:00,-1,Sell,9303.16,9286.6,-0.25,672.4092923145779
178,2020-01-29 16:00:00,-1,Sell,9286.6,,,672.4092923145779
179,2020-01-29 20:00:00,1,Buy,9286.6,9389.71,-1.18,664.9427682098942
180,2020-01-29 20:00:00,1,Buy,9389.71,,,664.9427682098942
181,2020-01-30 04:00:00,-1,Sell,9389.71,9291.98,-1.11,658.0212094467213
182,2020-01-30 04:00:00,-1,Sell,9291.98,,,658.0212094467213
183,2020-01-30 08:00:00,1,Buy,9291.98,9377.66,-0.99,651.9529913046896
184,2020-01-30 08:00:00,1,Buy,9377.66,,,651.9529913046896
185,2020-01-30 12:00:00,-1,Sell,9377.66,9338.21,-0.49,649.2096512956713
186,2020-01-30 12:00:00,-1,Sell,9338.21,,,649.2096512956713
187,2020-01-30 18:15:00,-1,SL Hit,9338.21,9530.0,-2.12,635.8753553471975
188,2020-01-31 00:00:00,1,Buy,9489.69,,,635.8753553471975
189,2020-01-31 04:00:00,-1,Sell,9489.69,9444.69,-0.54,632.8593417815674
190,2020-01-31 04:00:00,-1,Sell,9444.69,,,632.8593417815674
191,2020-01-31 16:00:00,1,Buy,9444.69,9339.19,1.05,639.9278690995583
192,2020-01-31 16:00:00,1,Buy,9339.19,,,639.9278690995583
193,2020-02-01 20:00:00,-1,Sell,9339.19,9367.76,0.24,641.884805599102
194,2020-02-01 20:00:00,-1,Sell,9367.76,,,641.884805599102
195,2020-02-02 08:00:00,1,Buy,9367.76,9376.34,-0.16,641.2961986040424
196,2020-02-02 08:00:00,1,Buy,9376.34,,,641.2961986040424
197,2020-02-02 12:00:00,-1,Sell,9376.34,9435.79,0.56,645.3615903847384
198,2020-02-02 12:00:00,-1,Sell,9435.79,,,645.3615903847384
199,2020-02-02 16:00:00,1,Buy,9435.79,9440.0,-0.11,645.0729471075439
200,2020-02-02 16:00:00,1,Buy,9440.0,,,645.0729471075439
201,2020-02-03 00:00:00,-1,Sell,9440.0,9331.59,-1.22,637.6641583156023
202,2020-02-03 00:00:00,-1,Sell,9331.59,,,637.6641583156023
203,2020-02-03 04:00:00,1,Buy,9331.59,9386.24,-0.66,633.929009389755
204,2020-02-03 04:00:00,1,Buy,9386.24,,,633.929009389755
205,2020-02-03 16:00:00,-1,Sell,9386.24,9270.0,-1.31,626.0776782476295
206,2020-02-03 16:00:00,-1,Sell,9270.0,,,626.0776782476295
207,2020-02-03 20:00:00,1,Buy,9270.0,9316.04,-0.57,622.967526650378
208,2020-02-03 20:00:00,1,Buy,9316.04,,,622.967526650378
209,2020-02-04 12:00:00,-1,Sell,9316.04,9182.81,-1.5,614.0576803204319
210,2020-02-04 12:00:00,-1,Sell,9182.81,,,614.0576803204319
211,2020-02-04 16:00:00,1,Buy,9182.81,9214.34,-0.41,611.948558316655
212,2020-02-04 16:00:00,1,Buy,9214.34,,,611.948558316655
213,2020-02-05 00:00:00,-1,Sell,9214.34,9193.41,-0.3,610.5578419589377
214,2020-02-05 00:00:00,-1,Sell,9193.41,,,610.5578419589377
215,2020-02-05 04:00:00,1,Buy,9193.41,9239.19,-0.57,607.5167752174478
216,2020-02-05 04:00:00,1,Buy,9239.19,,,607.5167752174478
217,2020-02-05 08:00:00,-1,Sell,9239.19,9263.87,0.2,609.1388921540372
218,2020-02-05 08:00:00,-1,Sell,9263.87,,,609.1388921540372
219,2020-02-05 16:00:00,1,Buy,9263.87,9484.22,-2.45,594.6492415441796
220,2020-02-05 16:00:00,1,Buy,9484.22,,,594.6492415441796
221,2020-02-06 00:00:00,-1,Sell,9484.22,9601.23,1.16,601.9849284851283
222,2020-02-06 00:00:00,-1,Sell,9601.23,,,601.9849284851283
223,2020-02-06 04:00:00,1,Buy,9601.23,9635.2,-0.42,599.854352623323
224,2020-02-06 04:00:00,1,Buy,9635.2,,,599.854352623323
225,2020-02-06 08:00:00,-1,Sell,9635.2,9629.85,-0.13,599.5205800574671
226,2020-02-06 08:00:00,-1,Sell,9629.85,,,599.5205800574671
227,2020-02-06 12:52:00,-1,SL Hit,9629.85,9825.0,-2.1,587.3705276586016
228,2020-02-06 20:00:00,-1,Sell,9747.29,,,587.3705276586016
229,2020-02-07 00:00:00,1,Buy,9747.29,9775.53,-0.36,585.6680886418002
230,2020-02-07 00:00:00,1,Buy,9775.53,,,585.6680886418002
231,2020-02-07 12:00:00,-1,Sell,9775.53,9810.01,0.28,587.7331421811346
232,2020-02-07 12:00:00,-1,Sell,9810.01,,,587.7331421811346
233,2020-02-07 16:00:00,1,Buy,9810.01,9802.01,0.01,588.2117347748678
234,2020-02-07 16:00:00,1,Buy,9802.01,,,588.2117347748678
235,2020-02-07 20:00:00,-1,Sell,9802.01,9775.08,-0.34,586.5949843915803
236,2020-02-07 20:00:00,-1,Sell,9775.08,,,586.5949843915803
237,2020-02-08 12:00:00,1,Buy,9775.08,9810.02,-0.43,584.4975620369149
238,2020-02-08 12:00:00,1,Buy,9810.02,,,584.4975620369149
239,2020-02-08 16:00:00,-1,Sell,9810.02,9827.29,0.11,585.5258378082567
240,2020-02-08 16:00:00,-1,Sell,9827.29,,,585.5258378082567
241,2020-02-08 20:00:00,1,Buy,9827.29,9862.15,-0.42,583.4481226081359
242,2020-02-08 20:00:00,1,Buy,9862.15,,,583.4481226081359
243,2020-02-09 00:00:00,-1,Sell,9862.15,9897.47,0.29,585.5369657291104
244,2020-02-09 00:00:00,-1,Sell,9897.47,,,585.5369657291104
245,2020-02-09 04:00:00,1,Buy,9897.47,10052.66,-1.64,576.3551839262354
246,2020-02-09 04:00:00,1,Buy,10052.66,,,576.3551839262354
247,2020-02-09 12:00:00,-1,Sell,10052.66,10108.61,0.49,579.5622988270352
248,2020-02-09 12:00:00,-1,Sell,10108.61,,,579.5622988270352
249,2020-02-09 16:00:00,1,Buy,10108.61,10097.1,0.04,580.221507762042
250,2020-02-09 16:00:00,1,Buy,10097.1,,,580.221507762042
251,2020-02-09 20:00:00,-1,Sell,10097.1,10074.85,-0.29,578.9422298983282
252,2020-02-09 20:00:00,-1,Sell,10074.85,,,578.9422298983282
253,2020-02-10 04:00:00,1,Buy,10074.85,10090.44,-0.22,578.045664514316
254,2020-02-10 04:00:00,1,Buy,10090.44,,,578.045664514316
255,2020-02-10 08:00:00,-1,Sell,10090.44,9967.94,-1.28,571.0273722286472
256,2020-02-10 08:00:00,-1,Sell,9967.94,,,571.0273722286472
257,2020-02-10 12:00:00,1,Buy,9967.94,9793.26,1.68,581.033460128745
258,2020-02-10 12:00:00,1,Buy,9793.26,,,581.033460128745
259,2020-02-10 16:00:00,-1,Sell,9793.26,9876.28,0.78,585.95833117045
260,2020-02-10 16:00:00,-1,Sell,9876.28,,,585.95833117045
261,2020-02-10 20:00:00,1,Buy,9876.28,9852.87,0.17,587.3465432438927
262,2020-02-10 20:00:00,1,Buy,9852.87,,,587.3465432438927
263,2020-02-11 08:00:00,-1,Sell,9852.87,9739.87,-1.22,580.6097187048945
264,2020-02-11 08:00:00,-1,Sell,9739.87,,,580.6097187048945
265,2020-02-11 15:16:00,-1,SL Hit,9739.87,9940.0,-2.12,568.678939247529
266,2020-02-11 20:00:00,1,Buy,10246.59,,,568.678939247529
267,2020-02-12 12:00:00,-1,Sell,10246.59,10343.4,0.87,574.051129946635
268,2020-02-12 12:00:00,-1,Sell,10343.4,,,574.051129946635
269,2020-02-12 16:00:00,1,Buy,10343.4,10302.67,0.32,576.3109151374549
270,2020-02-12 16:00:00,1,Buy,10302.67,,,576.3109151374549
271,2020-02-12 20:00:00,-1,Sell,10302.67,10343.36,0.32,578.5863329920444
272,2020-02-12 20:00:00,-1,Sell,10343.36,,,578.5863329920444
273,2020-02-13 00:00:00,1,Buy,10343.36,10343.09,-0.07,578.6007362379827
274,2020-02-13 00:00:00,1,Buy,10343.09,,,578.6007362379827
275,2020-02-13 08:00:00,-1,Sell,10343.09,10338.94,-0.11,578.3678819151074
276,2020-02-13 08:00:00,-1,Sell,10338.94,,,578.3678819151074
277,2020-02-13 12:00:00,1,Buy,10338.94,10132.08,1.93,589.9390819409282
278,2020-02-13 12:00:00,1,Buy,10132.08,,,589.9390819409282
279,2020-02-13 20:00:00,-1,Sell,10132.08,10251.15,1.11,596.8712176949596
280,2020-02-13 20:00:00,-1,Sell,10251.15,,,596.8712176949596
