date_time,actual_sell_price,predicted_sell_price
2024-04-11 20:00:00,70459.67,69470.29
2024-04-12 12:00:00,70872.58,69629.75
2024-04-12 14:39:00,69427.19,69925.8
2024-04-13 04:00:00,67160.55,69214.21
2024-04-13 19:51:00,65776.0,67769.82
2024-04-14 03:03:00,62606.06,66594.055
2024-04-14 12:00:00,64166.05,64384.0
2024-04-14 16:00:00,64228.42,64551.72
2024-04-15 00:00:00,65521.27,64488.047
2024-04-15 12:00:00,65860.12,65111.195
2024-04-15 19:06:00,62333.0,65395.32
2024-04-16 04:00:00,62894.79,63443.305
2024-04-16 12:00:00,63094.76,63210.562
2024-04-16 16:00:00,61832.47,63160.54
2024-04-16 17:19:00,63109.42,62387.145
2024-04-17 12:00:00,62595.04,62852.055
2024-04-17 20:00:00,61071.49,62672.43
2024-04-18 04:00:00,62055.47,61750.48
2024-04-18 08:00:00,61178.08,62015.293
2024-04-18 16:00:00,63498.69,61533.03
2024-04-18 20:00:00,63477.04,62648.113
2024-04-19 00:00:00,63384.62,62937.574
2024-04-19 02:19:00,60160.71,63000.047
2024-04-19 16:00:00,64437.18,61223.434
2024-04-19 20:00:00,64325.26,63145.89
2024-04-19 23:04:00,62975.0,63558.508
2024-04-20 12:00:00,63784.62,62973.414
2024-04-20 16:00:00,64607.48,63336.96
2024-04-20 20:00:00,64891.98,63900.043
2024-04-21 00:00:00,64837.99,64247.125
2024-04-21 04:00:00,65112.49,64335.133
2024-04-21 16:00:00,65029.14,64553.93
2024-04-22 00:00:00,64930.0,64595.117
2024-04-22 04:00:00,65821.87,64618.977
2024-04-22 08:00:00,66140.01,65123.094
2024-04-22 12:00:00,65877.47,65448.223
2024-04-22 16:00:00,66010.0,65437.53
2024-04-22 20:00:00,66524.77,65545.984
2024-04-23 08:00:00,66126.22,65879.5
2024-04-23 12:00:00,66014.35,65762.234
2024-04-24 15:42:00,64625.8,65696.71
2024-04-25 00:00:00,64289.58,64912.28
2024-04-25 04:00:00,64282.02,64514.77
2024-04-25 08:00:00,64017.99,64369.04
2024-04-25 12:00:00,63861.24,64137.16
2024-04-25 20:00:00,64747.12,63950.03
2024-04-26 08:00:00,64276.94,64362.168
2024-04-26 16:00:00,63611.62,64180.344
2024-04-27 12:00:00,62862.13,63746.855
2024-04-28 00:00:00,63509.99,63193.33
2024-04-28 20:00:00,63730.49,63366.137
2024-04-29 00:00:00,63118.62,63503.605
2024-04-29 04:00:00,62279.68,63189.832
2024-04-29 08:00:00,62399.98,62632.066
2024-04-29 12:00:00,62246.86,62524.727
2024-04-29 20:00:00,62987.37,62372.67
2024-04-30 12:00:00,61129.61,62705.0
2024-04-30 16:00:00,60794.12,61728.97
2024-04-30 20:00:00,59292.95,61271.38
2024-04-30 22:11:00,60479.11,60264.16
2024-05-01 08:00:00,57500.0,60578.645
2024-05-01 12:00:00,57988.0,58914.59
2024-05-01 15:17:00,56818.18,58674.695
2024-05-01 21:28:00,58147.3,57873.8
2024-05-02 08:00:00,57679.25,58294.594
2024-05-02 12:00:00,58473.66,58075.902
2024-05-02 16:00:00,59264.16,58392.207
2024-05-02 20:00:00,59377.21,58891.03
2024-05-03 08:00:00,59229.86,59080.055
2024-05-03 12:40:00,60432.0,59080.434
2024-05-04 12:00:00,63873.3,59746.117
2024-05-04 20:00:00,63921.17,61896.492
2024-05-05 00:00:00,63892.03,62581.195
2024-05-05 04:00:00,63235.93,62916.03
2024-05-05 12:00:00,63859.63,62759.535
2024-05-05 16:00:00,64294.01,63165.23
2024-05-06 00:00:00,64040.01,63577.695
2024-05-06 08:25:00,65331.97,63611.06
2024-05-06 20:00:00,63220.0,64412.625
2024-05-07 00:00:00,63165.18,63497.75
2024-05-07 04:00:00,63303.94,63283.594
2024-05-07 12:00:00,63485.82,63265.53
2024-05-07 16:00:00,63740.48,63337.863
2024-05-07 23:02:00,62459.41,63486.28
2024-05-08 08:00:00,62208.0,62814.832
2024-05-08 16:00:00,62216.76,62484.84
2024-05-08 20:00:00,62179.45,62356.312
2024-05-09 04:00:00,61680.4,62265.273
2024-05-09 16:00:00,62159.06,61916.38
2024-05-09 22:52:00,63429.03,62074.293
2024-05-10 08:00:00,63078.01,62801.23
2024-05-10 12:00:00,63299.63,62794.46
2024-05-10 16:00:00,60760.62,62938.207
2024-05-10 20:00:00,60695.49,61552.664
2024-05-11 04:00:00,60770.0,61153.28
2024-05-11 08:00:00,61018.53,61036.81
2024-05-11 12:00:00,60759.99,61099.51
2024-05-11 20:00:00,61144.01,60944.01
2024-05-12 00:00:00,60804.01,61101.637
2024-05-12 08:00:00,60819.99,60932.668
2024-05-12 20:00:00,61406.11,60863.336
2024-05-13 08:12:00,62671.66,61149.152
2024-05-13 20:00:00,63135.69,61909.773
2024-05-14 04:00:00,62434.43,62409.367
2024-05-14 16:00:00,61740.61,62208.066
2024-05-14 20:00:00,61611.18,61816.848
2024-05-15 09:52:00,62849.52,61652.695
2024-05-16 08:00:00,66142.62,62299.71
2024-05-16 20:00:00,65206.0,64317.12
2024-05-17 04:00:00,65584.53,64388.145
2024-05-17 08:00:00,66386.93,64743.406
2024-05-17 20:00:00,66868.0,65360.418
2024-05-18 04:00:00,66945.06,65845.95
2024-05-18 12:00:00,67190.81,66084.055
2024-05-18 20:00:00,66891.61,66364.91
2024-05-19 00:00:00,66972.59,66348.14
2024-05-19 16:00:00,66874.83,66456.01
2024-05-19 20:00:00,66034.01,66465.95
2024-05-20 00:00:00,66256.34,65997.08
2024-05-20 04:00:00,66675.21,66011.3
2024-05-20 08:00:00,66883.8,66234.87
2024-05-20 12:00:00,66994.2,66399.33
2024-05-20 17:12:00,68449.99,66505.305
2024-05-21 04:00:00,71283.99,67357.88
2024-05-21 15:50:00,69850.02,69181.47
2024-05-22 00:00:00,70140.0,68896.305
2024-05-22 04:00:00,69945.53,69110.96
2024-05-22 12:00:00,69736.14,69115.734
2024-05-23 04:00:00,69446.14,69056.36
2024-05-23 08:00:00,69734.05,68916.53
2024-05-23 12:00:00,69982.72,69065.766
2024-05-23 13:40:00,68573.66,69256.125
2024-05-24 00:00:00,67969.66,68531.26
2024-05-24 04:00:00,67891.83,68015.46
2024-05-24 20:00:00,69115.98,67780.984
2024-05-25 00:00:00,68535.25,68363.52
2024-05-25 08:00:00,68753.93,68149.76
2024-05-25 16:00:00,68956.07,68222.34
2024-05-26 04:00:00,69053.7,68345.125
2024-05-26 20:00:00,68876.01,68428.01
2024-05-27 00:00:00,68514.92,68351.125
2024-05-27 08:00:00,68643.36,68129.23
2024-05-27 12:00:00,68434.26,68150.75
2024-05-27 20:00:00,69260.02,68036.58
2024-05-28 04:00:00,68050.3,68472.9
2024-05-28 12:00:00,68303.53,67894.01
2024-05-28 20:00:00,68430.0,67903.26
2024-05-29 20:00:00,67266.78,67955.57
2024-05-30 04:00:00,68118.2,67302.8
2024-05-30 12:00:00,67817.01,67600.85
2024-05-30 16:00:00,68585.87,67475.48
2024-05-30 20:00:00,68653.02,67870.33
2024-05-31 00:00:00,68322.0,68000.64
2024-05-31 08:00:00,68209.53,67865.48
2024-05-31 12:00:00,68339.57,67771.29
2024-05-31 20:00:00,67788.05,67824.22
2024-06-01 00:00:00,67582.9,67526.234
2024-06-01 04:00:00,67758.8,67331.27
2024-06-01 08:00:00,67644.68,67375.086
2024-06-01 20:00:00,67753.76,67303.12
2024-06-02 00:00:00,67766.84,67339.69
2024-06-02 08:00:00,67721.01,67342.74
2024-06-02 20:00:00,67750.01,67309.76
2024-06-03 08:00:00,68906.7,67313.23
2024-06-03 13:49:00,70288.0,67959.86
2024-06-04 00:00:00,68810.39,68902.42
2024-06-04 04:00:00,69170.22,68352.7
2024-06-04 16:00:00,70576.51,68482.51
2024-06-05 00:00:00,70550.01,69317.6
2024-06-05 04:00:00,70947.58,69536.17
2024-06-05 08:00:00,71224.39,69872.16
2024-06-05 12:00:00,70930.61,70161.86
2024-06-05 16:00:00,71580.01,70119.23
2024-06-06 00:00:00,71108.0,70518.36
2024-06-06 04:00:00,71050.0,70376.27
2024-06-06 12:00:00,71170.01,70331.41
2024-06-07 00:00:00,70751.82,70409.95
2024-06-07 04:00:00,71009.48,70205.22
2024-06-07 08:00:00,71120.0,70298.63
2024-06-07 16:00:00,71046.0,70377.25
2024-06-07 20:00:00,69255.01,70354.625
2024-06-08 00:00:00,69312.39,69338.69
2024-06-08 16:00:00,69470.0,69111.95
2024-06-08 20:00:00,69460.0,69084.82
2024-06-09 00:00:00,69310.46,69031.66
2024-06-09 04:00:00,69259.38,68909.71
2024-06-09 12:00:00,69367.68,68828.484
2024-06-10 00:00:00,69648.15,68849.836
2024-06-10 12:00:00,69473.89,68991.63
2024-06-10 16:00:00,70049.99,68919.4
2024-06-10 20:00:00,69490.81,69220.42
2024-06-11 04:00:00,68420.74,68992.53
2024-06-11 09:49:00,67030.0,68349.76
2024-06-11 20:00:00,67328.0,67396.5
2024-06-12 00:00:00,67314.23,67275.6
2024-06-12 08:00:00,67453.64,67171.03
2024-06-12 12:00:00,67787.99,67178.86
2024-06-12 16:00:00,69734.0,67336.55
2024-06-12 20:00:00,67532.92,68446.7
2024-06-13 08:00:00,67724.8,67481.18
2024-06-13 15:57:00,66369.0,67381.71
2024-06-14 00:00:00,66773.01,66574.734
2024-06-14 12:00:00,67013.84,66571.94
2024-06-14 16:00:00,66392.0,66673.21
2024-06-15 04:00:00,66267.87,66330.6
2024-06-15 08:00:00,66076.99,66161.664
2024-06-15 12:00:00,66319.94,65983.02
2024-06-16 00:00:00,66228.25,66045.74
2024-06-16 04:00:00,66135.28,65963.79
2024-06-16 12:00:00,66519.89,65885.76
2024-06-17 00:00:00,66676.86,66064.95
2024-06-17 04:00:00,66222.0,66199.63
2024-06-17 08:00:00,66220.01,65983.68
2024-06-17 20:00:00,66751.24,65928.26
2024-06-18 04:00:00,65492.73,66207.96
2024-06-18 08:00:00,65672.51,65575.125
2024-06-18 12:00:00,65366.0,65517.652
2024-06-18 20:00:00,64487.73,65305.22
2024-06-19 00:00:00,65175.32,64739.23
2024-06-19 04:00:00,65404.0,64948.676
2024-06-19 12:00:00,65210.0,65091.945
2024-06-19 16:00:00,64919.99,65003.95
2024-06-20 00:00:00,64869.99,64814.156
2024-06-21 08:00:00,64201.63,64726.094
2024-06-22 08:00:00,64519.99,64304.03
2024-06-22 12:00:00,64277.47,64357.277
2024-06-23 00:00:00,64262.01,64209.61
2024-06-23 04:00:00,64416.14,64147.83
2024-06-23 12:00:00,64341.46,64210.547
2024-06-23 16:00:00,64110.12,64170.27
2024-06-23 20:00:00,64149.78,64019.746
2024-06-24 02:55:00,62695.02,63991.332
2024-06-24 12:00:00,61291.95,63158.594
2024-06-24 16:53:00,60035.5,62131.914
2024-06-25 08:00:00,60685.16,61101.684
2024-06-25 12:00:00,61232.37,61092.98
2024-06-25 16:00:00,61810.0,61307.61
2024-06-26 00:00:00,61806.01,61633.023
2024-06-26 08:00:00,61682.01,61688.81
2024-06-27 00:00:00,60825.0,61618.547
2024-06-27 04:00:00,61082.0,61106.9
2024-06-27 12:00:00,61297.35,61082.32
2024-06-27 20:00:00,61493.82,61174.18
2024-06-28 00:00:00,61706.46,61309.438
2024-06-28 12:00:00,61710.02,61486.156
2024-06-28 16:00:00,61062.0,61547.848
2024-06-28 20:00:00,60123.73,61212.785
2024-06-29 00:00:00,60441.67,60594.098
2024-06-29 12:00:00,61102.33,60578.434
